#{"t_start": 1628789547.2193913, "env_id": "LunarLander-v2"}
r,l,t
189.173999,380,1516.638509
153.225983,635,1521.015265
224.342969,381,1522.096628
196.745733,402,1523.258058
217.64371,439,1524.487806
192.912881,595,1529.013886
171.378381,451,1530.321772
208.941004,352,1531.185441
204.177126,440,1532.427527
150.430349,664,1536.541525
154.448117,640,1538.149565
179.998742,499,1539.440136
185.036526,534,1541.146935
245.794794,428,1545.235506
191.443725,571,1547.068459
250.440347,374,1548.018261
181.745795,470,1549.302036
249.678193,385,1553.159139
161.221007,439,1554.411446
210.348064,367,1555.352996
213.044792,352,1556.216734
277.201348,438,1557.376725
197.606702,354,1558.25136
179.609334,472,1562.527877
162.151476,429,1563.624793
151.210109,402,1564.73076
230.654824,664,1566.591128
217.846708,458,1570.735701
221.533397,938,1573.831856
253.111968,569,1575.506679
272.12137,366,1579.429225
160.347346,539,1581.06814
191.604179,336,1581.998136
192.802323,359,1582.994659
260.379394,332,1583.816847
225.32862,352,1584.759979
236.259463,338,1588.459771
220.164838,546,1589.984861
237.629973,339,1590.794941
-18.022847,307,1591.512085
266.746301,426,1592.496222
133.565475,543,1596.7153
242.603379,414,1597.842272
202.450641,393,1598.800844
228.053848,333,1599.608907
248.662928,357,1600.460893
273.69067,476,1604.553282
149.262641,487,1606.013296
191.121802,624,1607.891068
215.673164,281,1608.539375
154.361319,432,1612.67942
249.565568,340,1613.522587
205.478415,395,1614.578692
192.234249,605,1616.665271
266.410042,339,1617.524624
227.054049,323,1621.237526
-8.369927,182,1621.604904
269.402306,483,1622.83498
199.406976,411,1623.989412
211.727737,309,1624.734723
239.470953,324,1625.558037
212.471139,317,1629.313008
237.215906,320,1630.085248
246.993435,314,1630.815645
260.406253,344,1631.683366
262.521098,340,1632.517008
250.457193,393,1633.580029
215.131232,285,1637.082829
-39.822983,278,1637.725876
237.846368,327,1638.474695
-9.193068,220,1638.945199
233.271217,325,1639.689713
153.144801,825,1641.799287
250.01677,289,1645.336342
-9.047311,215,1645.796865
220.55893,362,1646.661013
239.418751,317,1647.394473
200.614092,305,1648.127609
246.779242,325,1648.917763
221.97965,294,1649.618108
251.390593,328,1653.236207
189.726284,583,1655.155272
1.380954,237,1655.666921
-70.837365,297,1656.353332
256.654689,350,1657.154844
154.693406,353,1660.99765
201.978775,284,1661.674861
139.714016,624,1663.490324
255.741216,336,1664.301593
-145.740158,345,1665.09609
253.766377,616,1669.731388
-10.149887,264,1670.350356
222.635225,284,1670.976282
228.126948,338,1671.810391
